name,path,hue,color_bucket,flat,silhouette_cluster,species,body_plan,type1
WHIMSICOTT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Whimsicott/000-547Whimsicott.png,23.0,orange,[0 0 0 ... 0 0 0],0,Windveiled Pokémon,bipedal,GRASS
WHIMSICOTT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Whimsicott/002-547Whimsicott_BW_anime.png,25.0,yellow,[0 0 0 ... 0 0 0],0,Windveiled Pokémon,bipedal,GRASS
WHIMSICOTT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Whimsicott/001-547Whimsicott_Dream.png,25.0,yellow,[0 0 0 ... 0 0 0],0,Windveiled Pokémon,bipedal,GRASS
WHIMSICOTT,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Whimsicott/056-HOME547.png,24.0,orange,[0 0 0 ... 0 0 0],0,Windveiled Pokémon,bipedal,GRASS
FORRETRESS,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Forretress/000-205Forretress_GS.png,172.0,pink,[0 0 0 ... 0 0 0],4,Bagworm Pokémon,serpentine,BUG
FORRETRESS,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Forretress/052-205Forretress_Dream.png,172.0,pink,[0 0 0 ... 0 0 0],6,Bagworm Pokémon,serpentine,BUG
FORRETRESS,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Forretress/119-HOME205.png,174.0,pink,[0 0 0 ... 0 0 0],4,Bagworm Pokémon,serpentine,BUG
FORRETRESS,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Forretress/001-205Forretress.png,1.0,red,[0 0 0 ... 0 0 0],4,Bagworm Pokémon,serpentine,BUG
FORRETRESS,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Forretress/003-205Forretress_OS_anime.png,1.0,red,[0 0 0 ... 0 0 0],0,Bagworm Pokémon,serpentine,BUG
FORRETRESS,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Forretress/002-205Forretress_AG_anime.png,0.0,red,[0 0 0 ... 0 0 0],4,Bagworm Pokémon,serpentine,BUG
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/050-HOME774V.png,140.0,purple,[0 0 0 ... 0 0 0],4,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/029-774Minior_Orange_Dream.png,18.0,orange,[0 0 0 ... 0 0 0],0,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/026-774Minior_Dream.png,6.0,red,[0 0 0 ... 0 0 0],4,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/030-774Minior_Red_Dream.png,170.0,pink,[0 0 0 ... 0 0 0],0,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/028-774Minior_Indigo_Dream.png,96.0,blue,[0 0 0 ... 0 0 0],0,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/025-774Minior_Blue_Dream.png,98.0,blue,[0 0 0 ... 0 0 0],0,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/003-774Minior-Core_SM_anime.png,171.0,pink,[255 255 255 ... 255 255 255],2,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/001-774Minior.png,4.0,red,[0 0 0 ... 0 0 0],6,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/032-774Minior_Yellow_Dream.png,28.0,yellow,[0 0 0 ... 0 0 0],0,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/045-HOME774B.png,97.0,blue,[0 0 0 ... 0 0 0],4,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/027-774Minior_Green_Dream.png,50.0,green,[0 0 0 ... 0 0 0],0,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/049-HOME774R.png,171.0,pink,[0 0 0 ... 0 0 0],4,Meteor Pokémon,bipedal,
MINIOR,/kaggle/input/pokemon-images-scraped-from-bulbapedia/scraped_cleaned_200/Minior/051-HOME774Y.png,26.0,yellow,[0 0 0 ... 0 0 0],4,Meteor Pokémon,bipedal,
